,GPUs_Num,vCPUs_Num,Memory_GiB,Storage_GB,Network_Gb,Price_Dollar,RF_Predicted_Price,Residual
18,0,1.0,2.0,59.0,10.0,0.0384,0.04229300000000007,-0.00389300000000007
26,0,1.0,4.0,59.0,10.0,0.0452,0.047475500000000004,-0.0022755000000000067
27,0,1.0,2.0,59.0,12.5,0.0454,0.04693274999999999,-0.0015327499999999855
32,0,1.0,4.0,59.0,12.5,0.0534,0.05190724999999995,0.0014927500000000496
34,0,1.0,8.0,59.0,10.0,0.0576,0.06129483333333341,-0.003694833333333411
40,0,1.0,8.0,59.0,12.5,0.068,0.06559633333333321,0.00240366666666679
46,0,2.0,4.0,118.0,10.0,0.0768,0.08278574166666683,-0.005985741666666836
52,0,1.0,16.0,59.0,10.0,0.0835,0.10199541666666694,-0.01849541666666693
56,0,2.0,4.0,75.0,10.0,0.086,0.0871116785714286,-0.0011116785714286037
63,0,2.0,8.0,118.0,10.0,0.0904,0.10482054166666677,-0.014420541666666772
64,0,2.0,4.0,118.0,12.5,0.0907,0.0950056416666666,-0.004305641666666596
68,0,2.0,4.0,50.0,10.0,0.096,0.0854540952380953,0.0105459047619047
73,0,2.0,4.0,118.0,12.5,0.1008,0.0950056416666666,0.005794358333333402
78,0,2.0,8.0,75.0,10.0,0.103,0.10217133333333348,0.0008286666666665193
80,0,2.0,8.0,118.0,12.5,0.1068,0.11180303333333333,-0.005003033333333323
84,0,2.0,8.0,75.0,10.0,0.113,0.10217133333333348,0.010828666666666528
87,0,2.0,16.0,118.0,10.0,0.1152,0.14698071547619018,-0.031780715476190186
90,0,2.0,8.0,118.0,12.5,0.1187,0.11180303333333333,0.006896966666666671
96,0,2.0,16.0,75.0,10.0,0.131,0.14329195833333297,-0.012291958333332964
102,0,2.0,8.0,75.0,25.0,0.136,0.11467265833333345,0.021327341666666555
103,0,2.0,16.0,118.0,12.5,0.1361,0.1456258321428569,-0.009525832142856905
105,0,2.0,16.0,75.0,10.0,0.144,0.14329195833333297,0.0007080416666670197
111,0,2.0,16.0,118.0,12.5,0.1512,0.1456258321428569,0.0055741678571430975
114,0,4.0,8.0,237.0,10.0,0.1536,0.1655486000000004,-0.01194860000000042
119,0,2.0,8.0,118.0,25.0,0.1591,0.12112078333333329,0.037979216666666704
125,0,2.0,16.0,75.0,25.0,0.167,0.16749844166666705,-0.0004984416666670433
126,0,2.0,32.0,118.0,10.0,0.167,0.17770441666666703,-0.010704416666667022
132,0,4.0,8.0,150.0,10.0,0.172,0.17143012500000016,0.0005698749999998309
140,0,4.0,16.0,237.0,10.0,0.1808,0.19602124999999992,-0.015221249999999936
141,0,4.0,8.0,237.0,12.5,0.1814,0.1949735749999995,-0.013573574999999505
149,0,4.0,8.0,100.0,10.0,0.192,0.15705750000000027,0.03494249999999974
150,0,2.0,16.0,118.0,25.0,0.1954,0.18100304166666653,0.01439695833333346
155,0,4.0,8.0,237.0,12.5,0.2016,0.1949735749999995,0.006626425000000491
159,0,4.0,16.0,150.0,10.0,0.206,0.2130100000000003,-0.0070100000000003215
161,0,4.0,16.0,237.0,12.5,0.2136,0.22544747499999968,-0.011847474999999663
166,0,4.0,16.0,150.0,10.0,0.226,0.2130100000000003,0.012989999999999696
170,0,4.0,32.0,237.0,10.0,0.2304,0.24947833333333366,-0.01907833333333367
173,0,4.0,16.0,237.0,12.5,0.2373,0.22544747499999968,0.011852525000000336
180,0,4.0,32.0,150.0,10.0,0.262,0.27276833333333306,-0.010768333333333047
185,0,4.0,16.0,150.0,25.0,0.272,0.2805110499999991,-0.008511049999999076
187,0,4.0,32.0,237.0,12.5,0.2722,0.2697389333333332,0.002461066666666789
189,0,4.0,32.0,150.0,10.0,0.288,0.27276833333333306,0.015231666666666921
195,0,4.0,32.0,237.0,12.5,0.3024,0.2697389333333332,0.032661066666666794
198,0,8.0,16.0,474.0,10.0,0.3072,0.3313230000000008,-0.024123000000000838
203,0,4.0,16.0,237.0,30.0,0.3182,0.3102671749999989,0.007932825000001087
209,0,4.0,32.0,150.0,25.0,0.334,0.31524966666666576,0.018750333333334257
210,0,4.0,64.0,237.0,10.0,0.334,0.3768099047619058,-0.04280990476190577
216,0,8.0,16.0,300.0,10.0,0.344,0.3445295000000004,-0.0005295000000004046
224,0,8.0,32.0,474.0,10.0,0.3616,0.4064434999999999,-0.044843499999999925
226,0,8.0,16.0,474.0,15.0,0.3629,0.38886000000000037,-0.02596000000000037
231,1,4.0,16.0,150.0,10.0,0.3785,0.45165000000000105,-0.07315000000000105
234,0,8.0,16.0,200.0,10.0,0.384,0.34158322500000027,0.04241677499999974
236,0,4.0,32.0,237.0,30.0,0.3908,0.35564249999999903,0.03515750000000095
240,0,8.0,16.0,474.0,12.5,0.4032,0.3874469999999992,0.015753000000000794
246,0,8.0,32.0,300.0,10.0,0.412,0.4259218809523816,-0.013921880952381616
249,0,8.0,32.0,474.0,15.0,0.4271,0.48733449999999967,-0.06023449999999969
252,0,8.0,32.0,300.0,10.0,0.452,0.4259218809523816,0.02607811904761842
257,0,8.0,64.0,474.0,10.0,0.4608,0.5155305000000011,-0.054730500000001125
261,0,8.0,32.0,474.0,12.5,0.4746,0.4807979999999991,-0.006197999999999093
270,0,8.0,64.0,300.0,10.0,0.524,0.5661296190476185,-0.04212961904761847
271,1,4.0,16.0,125.0,25.0,0.526,0.4381445750000008,0.08785542499999921
276,1,8.0,32.0,300.0,10.0,0.5412,0.6881196428571447,-0.14691964285714465
277,0,8.0,32.0,300.0,25.0,0.544,0.5409428809523797,0.0030571190476202936
279,0,8.0,64.0,474.0,15.0,0.5443,0.571754500000002,-0.027454500000002047
282,0,8.0,64.0,300.0,10.0,0.576,0.5661296190476185,0.009870380952381463
287,0,8.0,64.0,474.0,12.5,0.6048,0.5855959999999995,0.019204000000000554
290,0,16.0,32.0,950.0,10.0,0.6144,0.7376449999999994,-0.1232449999999995
295,0,8.0,32.0,474.0,40.0,0.6365,0.6329979999999985,0.0035020000000014484
302,0,8.0,64.0,300.0,25.0,0.668,0.7513653809523813,-0.08336538095238122
303,0,8.0,128.0,475.0,10.0,0.668,0.7452590000000011,-0.07725900000000108
309,0,16.0,32.0,600.0,10.0,0.688,0.7093370000000001,-0.02133700000000016
317,0,16.0,64.0,950.0,10.0,0.7232,0.7913830000000003,-0.06818300000000033
318,0,16.0,32.0,950.0,15.0,0.7258,0.7548085000000008,-0.02900850000000077
323,1,8.0,32.0,225.0,25.0,0.752,0.704510166666666,0.04748983333333401
327,0,16.0,32.0,400.0,10.0,0.768,0.7157762000000004,0.0522237999999996
329,0,8.0,64.0,474.0,40.0,0.7816,0.8139100000000008,-0.03231000000000084
333,1,4.0,16.0,250.0,10.0,0.8048,0.8213786666666664,-0.01657866666666641
334,0,16.0,32.0,950.0,12.5,0.8064,0.791630999999998,0.01476900000000203
338,0,16.0,64.0,600.0,10.0,0.824,0.8303595000000012,-0.006359500000001295
340,0,4.0,128.0,118.0,25.0,0.8336,0.8820133249999994,-0.048413324999999396
344,0,16.0,64.0,950.0,15.0,0.8543,0.8881939999999979,-0.03389399999999798
347,1,16.0,64.0,600.0,10.0,0.867,1.0363948666666647,-0.1693948666666647
351,0,16.0,64.0,600.0,10.0,0.904,0.8303595000000012,0.07364049999999878
354,0,16.0,128.0,950.0,10.0,0.9216,0.9917100000000016,-0.07011000000000167
358,0,16.0,64.0,950.0,12.5,0.9492,0.9141779999999986,0.03502200000000144
360,1,8.0,32.0,450.0,10.0,0.9776,1.0694458476190465,-0.09184584761904646
365,1,4.0,16.0,250.0,10.0,1.006,0.8213786666666664,0.18462133333333364
369,0,16.0,128.0,600.0,10.0,1.048,1.1065635238095224,-0.058563523809522344
373,0,16.0,64.0,600.0,25.0,1.088,1.1382369999999973,-0.0502369999999972
375,0,16.0,128.0,950.0,15.0,1.0886,1.1321343333333362,-0.04353433333333623
379,0,16.0,128.0,600.0,10.0,1.152,1.1065635238095224,0.045436476190477526
385,1,16.0,64.0,225.0,25.0,1.204,1.1390668000000013,0.06493319999999869
386,0,16.0,128.0,950.0,12.5,1.2096,1.1555189999999989,0.054081000000001156
387,1,8.0,32.0,450.0,10.0,1.212,1.0694458476190465,0.14255415238095348
390,0,32.0,64.0,1900.0,12.0,1.2288,1.3162115000000028,-0.08741150000000286
399,1,16.0,64.0,600.0,25.0,1.3232,1.4866331095238088,-0.16343310952380885
401,0,16.0,128.0,600.0,25.0,1.336,1.4081563333333371,-0.07215633333333704
402,0,16.0,256.0,950.0,10.0,1.336,2.2549039166666613,-0.9189039166666613
403,1,8.0,32.0,474.0,12.5,1.3438,1.0494704476190466,0.2943295523809535
410,0,32.0,64.0,1200.0,10.0,1.376,1.3471243571428584,0.028875642857141504
418,0,32.0,128.0,1900.0,12.0,1.4464,1.5699885000000007,-0.12358850000000077
419,0,32.0,64.0,1900.0,15.0,1.4515,1.466341500000002,-0.01484150000000195
426,1,16.0,128.0,600.0,25.0,1.5392,1.7345935999999977,-0.19539359999999784
432,0,32.0,64.0,1900.0,12.5,1.6128,1.500787499999997,0.11201250000000296
434,1,16.0,64.0,600.0,25.0,1.624,1.4866331095238088,0.13736689047619133
437,0,32.0,128.0,1200.0,10.0,1.648,1.7046375238095237,-0.056637523809523804
439,0,8.0,256.0,237.0,25.0,1.6672,2.1344869166666642,-0.4672869166666642
447,0,32.0,128.0,1900.0,15.0,1.7086,1.7229734999999966,-0.014373499999996708
449,0,36.0,72.0,900.0,12.0,1.728,1.5302043333333355,0.19779566666666448
450,2,32.0,128.0,1200.0,15.0,1.734,1.8355581666666643,-0.10155816666666428
452,0,32.0,128.0,1200.0,10.0,1.808,1.7046375238095237,0.10336247619047634
457,0,32.0,256.0,1900.0,12.0,1.8432,2.372521666666665,-0.5293216666666649
458,0,48.0,96.0,2850.0,20.0,1.8432,2.049107000000005,-0.20590700000000517
462,1,4.0,32.0,250.0,20.0,1.861,0.9378796333333332,0.9231203666666667
465,0,32.0,128.0,1900.0,12.5,1.8984,1.7647728333333317,0.1336271666666684
476,1,32.0,128.0,900.0,25.0,2.0144,2.1747057238095238,-0.16030572380952357
483,0,48.0,96.0,1800.0,12.0,2.064,1.9600281666666683,0.10397183333333171
486,0,32.0,256.0,1200.0,10.0,2.096,2.367301666666658,-0.2713016666666581
492,0,48.0,192.0,2850.0,20.0,2.1696,2.4233985000000007,-0.2537985000000007
493,0,32.0,128.0,1200.0,25.0,2.176,2.0396902904761918,0.1363097095238084
497,0,48.0,96.0,2850.0,22.5,2.1773,2.1338255000000035,0.04347449999999631
498,0,32.0,256.0,1900.0,15.0,2.1773,2.3451895000000005,-0.1678895000000007
501,1,8.0,64.0,450.0,20.0,2.2421,1.8201588999999967,0.4219411000000035
506,0,32.0,256.0,1200.0,10.0,2.304,2.367301666666658,-0.06330166666665837
507,0,48.0,96.0,1800.0,12.0,2.304,1.9600281666666683,0.3439718333333315
513,0,32.0,256.0,1900.0,12.5,2.4192,2.374441666666665,0.04475833333333501
514,0,48.0,96.0,2850.0,18.75,2.4192,2.2515365000000007,0.1676634999999993
518,1,32.0,256.0,900.0,25.0,2.4464,3.2972200357142842,-0.8508200357142841
519,1,32.0,128.0,900.0,25.0,2.448,2.1747057238095238,0.2732942761904762
521,0,64.0,128.0,3800.0,25.0,2.4576,2.480141500000009,-0.022541500000009318
522,0,64.0,128.0,3800.0,25.0,2.4576,2.480141500000009,-0.022541500000009318
528,0,48.0,192.0,1800.0,10.0,2.472,2.537937499999993,-0.06593749999999288
532,0,48.0,192.0,2850.0,22.5,2.5628,2.5365973333333294,0.026202666666670815
538,0,32.0,256.0,1200.0,25.0,2.672,2.6778028857142915,-0.005802885714291328
539,0,32.0,512.0,1900.0,12.0,2.672,2.931256666666676,-0.2592566666666758
541,0,48.0,192.0,1800.0,12.0,2.712,2.6324974999999937,0.07950250000000647
552,0,64.0,128.0,2400.0,20.0,2.752,2.6113765000000053,0.14062349999999446
554,0,48.0,384.0,2850.0,20.0,2.7648,3.0611164999999985,-0.2963164999999983
560,0,48.0,192.0,2850.0,18.75,2.8476,2.7236485000000004,0.12395149999999955
564,0,64.0,256.0,3800.0,25.0,2.8928,3.2391325793650787,-0.3463325793650789
565,0,64.0,256.0,3800.0,25.0,2.8928,3.2391325793650787,-0.3463325793650789
566,0,64.0,128.0,3800.0,30.0,2.903,2.8668240000000096,0.03617599999999044
567,0,64.0,128.0,3800.0,30.0,2.903,2.8668240000000096,0.03617599999999044
571,1,16.0,128.0,600.0,20.0,3.0042,2.3688507666666716,0.6353492333333284
582,0,48.0,384.0,1800.0,10.0,3.144,3.207809500000005,-0.06380950000000496
588,0,64.0,128.0,3800.0,25.0,3.2256,2.480141500000009,0.7454584999999909
591,0,48.0,384.0,2850.0,22.5,3.2659,3.052546833333332,0.2133531666666677
593,0,64.0,256.0,2400.0,12.0,3.296,3.187301047619043,0.10869895238095673
595,0,16.0,512.0,475.0,25.0,3.3345,3.121026750000002,0.21347324999999762
599,1,64.0,256.0,1880.0,25.0,3.3968,3.4380021666666614,-0.041202166666661544
601,0,64.0,256.0,3800.0,30.0,3.4171,3.469067571428574,-0.05196757142857411
602,0,64.0,256.0,3800.0,30.0,3.4171,3.469067571428574,-0.05196757142857411
605,0,48.0,384.0,1800.0,12.0,3.456,3.3359295000000064,0.12007049999999353
606,0,72.0,144.0,1800.0,25.0,3.456,3.057047000000005,0.3989529999999948
607,4,64.0,256.0,2400.0,25.0,3.468,3.502062166666662,-0.03406216666666184
611,0,64.0,256.0,2400.0,20.0,3.616,3.1826712142857114,0.4333287857142887
615,0,48.0,384.0,2850.0,18.75,3.6288,3.4367824999999983,0.19201750000000173
618,0,64.0,512.0,3800.0,25.0,3.6864,4.0929578571428555,-0.40655785714285564
619,0,64.0,512.0,3800.0,25.0,3.6864,4.0929578571428555,-0.40655785714285564
624,0,64.0,256.0,3800.0,25.0,3.7968,3.2391325793650787,0.5576674206349215
639,0,48.0,768.0,2850.0,20.0,4.008,4.106194000000005,-0.09819400000000478
645,1,64.0,256.0,1900.0,25.0,4.096,3.4343781666666615,0.6616218333333386
649,0,96.0,192.0,3800.0,20.0,4.128,4.311666,-0.18366599999999966
652,0,64.0,512.0,2400.0,12.0,4.192,4.170370857142853,0.021629142857147343
662,0,64.0,512.0,3800.0,30.0,4.3546,4.344776571428575,0.009823428571424486
663,0,64.0,512.0,3800.0,30.0,4.3546,4.344776571428575,0.009823428571424486
668,1,32.0,256.0,900.0,25.0,4.5286,3.2972200357142842,1.2313799642857157
670,4,48.0,192.0,3760.0,40.0,4.6016,4.813585916666664,-0.21198591666666378
671,0,96.0,192.0,3600.0,25.0,4.608,4.625929999999982,-0.017929999999982016
672,0,96.0,192.0,3600.0,25.0,4.608,4.625929999999982,-0.017929999999982016
673,0,64.0,512.0,2400.0,20.0,4.608,4.29202885714285,0.31597114285714945
683,0,64.0,512.0,3800.0,25.0,4.8384,4.0929578571428555,0.7454421428571445
684,0,96.0,192.0,5700.0,37.5,4.8384,5.02913099999999,-0.19073099999998977
691,0,96.0,384.0,3600.0,20.0,4.944,5.151207333333323,-0.20720733333332308
701,0,96.0,384.0,3600.0,25.0,5.424,5.216093333333318,0.20790666666668223
703,0,96.0,384.0,3600.0,25.0,5.424,5.216093333333318,0.20790666666668223
716,4,48.0,192.0,3800.0,40.0,5.672,5.256566916666677,0.41543308333332263
717,0,96.0,384.0,5700.0,37.5,5.6952,5.7033505000000035,-0.008150500000003724
731,0,96.0,768.0,3600.0,20.0,6.288,6.432624000000011,-0.14462400000001097
749,0,96.0,768.0,3600.0,25.0,6.912,6.8007360000000165,0.11126399999998338
750,0,96.0,768.0,3600.0,25.0,6.912,6.8007360000000165,0.11126399999998338
757,0,96.0,768.0,5700.0,37.5,7.2576,7.081966999999993,0.17563300000000748
764,1,64.0,512.0,1900.0,35.0,7.5772,6.379648999999977,1.1975510000000238
